,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,neighborhood
5,s3VJhNx6sdeNGCcWET-vOQ,the-barbeque-pit-seattle-2,The Barbeque Pit,https://s3-media4.fl.yelpcdn.com/bphoto/yxceVczu2uQmhTcrOT-t6Q/o.jpg,False,https://www.yelp.com/biz/the-barbeque-pit-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,312.0,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 47.601861, 'longitude': -122.308226}","['pickup', 'delivery']",$,"{'address1': '1816 E yesler Wy', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1816 E yesler Wy', 'Seattle, WA 98122']}",+12063253205,(206) 325-3205,838.0261171593269,Central District
6,E0jzAxh2u7ifsOeZ4qnp6A,wood-shop-bbq-seattle,Wood Shop BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/q-fnXBkNRi9s3bvOH62y4g/o.jpg,False,https://www.yelp.com/biz/wood-shop-bbq-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,467.0,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 47.59906, 'longitude': -122.29914}",['delivery'],$$,"{'address1': '2513 S Jackson St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98144', 'country': 'US', 'state': 'WA', 'display_address': ['2513 S Jackson St', 'Seattle, WA 98144']}",+12064857381,(206) 485-7381,786.7782866616037,Central District
7,NulXitxz9FaPSQReNehACQ,bistro-turkuaz-seattle,Bistro Turkuaz,https://s3-media2.fl.yelpcdn.com/bphoto/o6H7yJqdBfIomZi3rFK3uw/o.jpg,False,https://www.yelp.com/biz/bistro-turkuaz-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,120.0,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,"{'latitude': 47.6121807, 'longitude': -122.2893104}",['delivery'],$$,"{'address1': '1114 34th Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1114 34th Ave', 'Seattle, WA 98122']}",+12063243039,(206) 324-3039,991.2678697432984,Central District
8,Sl-Upreoh7Lba8jP2-ehwA,ezells-famous-chicken-seattle-3,Ezell's Famous Chicken,https://s3-media2.fl.yelpcdn.com/bphoto/TLTtJDjVlPUGn_ScsVNHrw/o.jpg,False,https://www.yelp.com/biz/ezells-famous-chicken-seattle-3?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,766.0,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",3.5,"{'latitude': 47.60632, 'longitude': -122.303011}",['delivery'],$,"{'address1': '501 23rd Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['501 23rd Ave', 'Seattle, WA 98122']}",+12063244141,(206) 324-4141,301.97515426184776,Central District
9,-ZvCzmfQltMYgiGb_niOnQ,cafe-selam-seattle,Cafe Selam,https://s3-media2.fl.yelpcdn.com/bphoto/ORS2DfzZFeXK6hTMEmr02A/o.jpg,False,https://www.yelp.com/biz/cafe-selam-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,277.0,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]",4.5,"{'latitude': 47.60779, 'longitude': -122.29707}",['delivery'],$$,"{'address1': '2715 E Cherry St', 'address2': 'Ste B', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2715 E Cherry St', 'Ste B', 'Seattle, WA 98122']}",+12063280404,(206) 328-0404,235.60465647277394,Central District
10,gZ7GyCmg6lmrqsAIGjlazQ,med-mix-seattle-4,Med Mix,https://s3-media4.fl.yelpcdn.com/bphoto/rrSHKkEX4y1XHOPzSUQ7og/o.jpg,False,https://www.yelp.com/biz/med-mix-seattle-4?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,82.0,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 47.59946, 'longitude': -122.30302}","['pickup', 'delivery']",$,"{'address1': '2204 S Jackson St', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98144', 'country': 'US', 'state': 'WA', 'display_address': ['2204 S Jackson St', 'Seattle, WA 98144']}",+12063255642,(206) 325-5642,802.9294733921471,Central District
11,Yh8ws9L4Ss-3QOdYXOH5ZA,soulful-dishes-seattle,Soulful Dishes,https://s3-media3.fl.yelpcdn.com/bphoto/oBpZXMQGo88Rib3Am2V8WQ/o.jpg,False,https://www.yelp.com/biz/soulful-dishes-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,20.0,"[{'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 47.6018100273963, 'longitude': -122.308759912848}",['delivery'],,"{'address1': '1800 E Yesler Way', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1800 E Yesler Way', 'Seattle, WA 98122']}",,,874.4712726710492,Central District
12,LAYH-S2juj5Z2q1_XVwDzQ,hi-spot-cafe-seattle,Hi Spot Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/WzF_F97yYjIQR-wv27Er6Q/o.jpg,False,https://www.yelp.com/biz/hi-spot-cafe-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,384.0,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 47.61325, 'longitude': -122.2891}",['delivery'],$$,"{'address1': '1410 34th Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1410 34th Ave', 'Seattle, WA 98122']}",+12063257905,(206) 325-7905,1097.6653231140842,Central District
13,-pa-22jT0ssGBiBaGQWiqA,the-harvest-vine-seattle,The Harvest Vine,https://s3-media1.fl.yelpcdn.com/bphoto/8fwk-_DmYliIOi2rkK4hvA/o.jpg,False,https://www.yelp.com/biz/the-harvest-vine-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,621.0,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'basque', 'title': 'Basque'}]",4.5,"{'latitude': 47.62258, 'longitude': -122.29725}",['delivery'],$$$,"{'address1': '2701 E Madison St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98112', 'country': 'US', 'state': 'WA', 'display_address': ['2701 E Madison St', 'Seattle, WA 98112']}",+12063209771,(206) 320-9771,1835.8143081588573,Central District
14,OBvw1H90MmBVIHekfsHwEQ,the-twilight-exit-seattle-2,The Twilight Exit,https://s3-media3.fl.yelpcdn.com/bphoto/KZW6eY2bHhC01tySFwJ5zw/o.jpg,False,https://www.yelp.com/biz/the-twilight-exit-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,214.0,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 47.60818, 'longitude': -122.2994}",['delivery'],$$,"{'address1': '2514 E Cherry St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2514 E Cherry St', 'Seattle, WA 98122']}",+12063247462,(206) 324-7462,235.74257881175288,Central District
15,Vuqc6s6gsYpGMVY34nTc_g,red-cow-seattle,Red Cow,https://s3-media3.fl.yelpcdn.com/bphoto/BiGKb-tIF0sa9LEaEmeSnA/o.jpg,False,https://www.yelp.com/biz/red-cow-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,269.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.0,"{'latitude': 47.6135963, 'longitude': -122.2892844}",['delivery'],$$$,"{'address1': '1423 34th Ave', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1423 34th Ave', 'Seattle, WA 98122']}",+12064547932,(206) 454-7932,1105.7500429919426,Central District
16,7yyDBhwcpSvlCSjsIclnmw,feed-co-burgers-seattle-3,Feed Co. Burgers,https://s3-media4.fl.yelpcdn.com/bphoto/yQMhpRKSfQnAEsz082zD-g/o.jpg,False,https://www.yelp.com/biz/feed-co-burgers-seattle-3?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,173.0,"[{'alias': 'burgers', 'title': 'Burgers'}]",3.5,"{'latitude': 47.6127807950165, 'longitude': -122.301238827379}",['delivery'],$$,"{'address1': '1190 24th Ave', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1190 24th Ave', 'Seattle, WA 98122']}",+12067266000,(206) 726-6000,760.4827367149948,Central District
17,cy0LGQD1xM-7xkdq4dESJw,layers-sandwich-co-seattle,Layers Sandwich Co.,https://s3-media1.fl.yelpcdn.com/bphoto/hwmt2QDlHzeUcRjl4-RCfg/o.jpg,False,https://www.yelp.com/biz/layers-sandwich-co-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,4.0,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'newamerican', 'title': 'American (New)'}]",5.0,"{'latitude': 47.60984, 'longitude': -122.30147}",[],,"{'address1': None, 'address2': None, 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['Seattle, WA 98122']}",+17023327422,(702) 332-7422,351.8747182681343,Central District
18,mO-OPKmvA4VtpZHoAlvFxA,kin-dee-seattle-4,Kin Dee,https://s3-media2.fl.yelpcdn.com/bphoto/SSPqiX9K9Q1OTJR-L2I_Tg/o.jpg,False,https://www.yelp.com/biz/kin-dee-seattle-4?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,105.0,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 47.61913, 'longitude': -122.30235}","['pickup', 'delivery']",,"{'address1': '2301 E Madison St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98112', 'country': 'US', 'state': 'WA', 'display_address': ['2301 E Madison St', 'Seattle, WA 98112']}",+12064535514,(206) 453-5514,1460.6400423087405,Central District
19,-0cEJtXVOQmKgmQtXI-neA,bottlehouse-seattle,Bottlehouse,https://s3-media4.fl.yelpcdn.com/bphoto/u73SYqhctReZBWiKEveVXQ/o.jpg,False,https://www.yelp.com/biz/bottlehouse-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,317.0,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 47.61347, 'longitude': -122.28899}",['delivery'],$$,"{'address1': '1416 34th Ave', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['1416 34th Ave', 'Seattle, WA 98122']}",+12067087164,(206) 708-7164,1107.5022931489752,Central District
20,cnLSG2fDzd6X9J3eGtM5UA,fish-box-seattle-2,Fish Box,https://s3-media2.fl.yelpcdn.com/bphoto/Snju7dyD5ihY73ARS5gu1w/o.jpg,False,https://www.yelp.com/biz/fish-box-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,1.0,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]",5.0,"{'latitude': 47.603273, 'longitude': -122.305833}","['pickup', 'delivery']",,"{'address1': '172 20th Ave', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['172 20th Ave', 'Seattle, WA 98122']}",+12062271911,(206) 227-1911,602.0009276063254,Central District
21,IIHDuM9KiNBwL3mm5et_IA,thats-amore-italian-cafe-seattle,That's Amore! Italian Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/ngx4asvBf3Ti35rtyih7qQ/o.jpg,False,https://www.yelp.com/biz/thats-amore-italian-cafe-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,286.0,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 47.58956, 'longitude': -122.29267}",['delivery'],$$,"{'address1': '1425 31st Ave S', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98144', 'country': 'US', 'state': 'WA', 'display_address': ['1425 31st Ave S', 'Seattle, WA 98144']}",+12063223677,(206) 322-3677,1899.4815193883062,Central District
22,ME0JbwrSqB7dXM6jvewa9w,ras-dashen-seattle,Ras Dashen,https://s3-media4.fl.yelpcdn.com/bphoto/Pf87xn2L-899V6iglDv6Jw/o.jpg,False,https://www.yelp.com/biz/ras-dashen-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,106.0,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]",4.5,"{'latitude': 47.60776, 'longitude': -122.29567}","['pickup', 'delivery']",$$,"{'address1': '2801 E Cherry St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2801 E Cherry St', 'Seattle, WA 98122']}",+12067097626,(206) 709-7626,310.130092035589,Central District
23,1KBmWMztYIYS1FdRzGYT7w,meskel-ethiopian-restaurant-seattle,Meskel Ethiopian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/1PUqnJ_ABsy050Wcz1HrfA/o.jpg,False,https://www.yelp.com/biz/meskel-ethiopian-restaurant-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,148.0,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]",4.0,"{'latitude': 47.6078, 'longitude': -122.29856}",['delivery'],$$,"{'address1': '2605 E Cherry St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2605 E Cherry St', 'Seattle, WA 98122']}",+12068601724,(206) 860-1724,190.52238996364238,Central District
24,6i8EM7X0mGJesKeHgHZ17g,tacos-chukis-seattle-10,Tacos Chukis,https://s3-media3.fl.yelpcdn.com/bphoto/9vfSYNY5Cxb8yIuE188khg/o.jpg,False,https://www.yelp.com/biz/tacos-chukis-seattle-10?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,81.0,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 47.61281, 'longitude': -122.30342}",['delivery'],$,"{'address1': '2203 E Union St', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['2203 E Union St', 'Seattle, WA 98122']}",,,793.4883080928913,Central District
