,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,cuisine,latitude,longitude,address1,address2,address3,city,zip_code,state,country
0,yooBjuMxEjRFCwN7Wz5-Yg,buenos-aires-grill-seattle-2,Buenos Aires Grill,https://s3-media4.fl.yelpcdn.com/bphoto/9l8bmwvTmBhh8VSQntCCeQ/o.jpg,False,https://www.yelp.com/biz/buenos-aires-grill-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,214.0,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'argentine', 'title': 'Argentine'}]",4.0,['delivery'],$$$,+12064483114,(206) 448-3114,1538.4410874526372,argentine,47.61403,-122.34731,2328 1st Ave,,,Seattle,98121,WA,US
1,iLiUs9hD98RzGEbogm8ALw,boca-restobar-and-grill-seattle-2,BOCA Restobar & Grill,https://s3-media4.fl.yelpcdn.com/bphoto/7d15w4qkogwXN9D_GiFIGg/o.jpg,False,https://www.yelp.com/biz/boca-restobar-and-grill-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,109.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,['delivery'],$$,+12063221063,(206) 322-1063,1161.8008639406933,argentine,47.6225352,-122.3206103,416 Broadway E,,,Seattle,98102,WA,US
2,XzdA05aG8dvMBQQEgJwGiw,patagon-seattle-2,Patagon,https://s3-media4.fl.yelpcdn.com/bphoto/Uw0hxDDmeBbo4sfIKI17pw/o.jpg,False,https://www.yelp.com/biz/patagon-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,114.0,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]",3.5,['delivery'],$$,+12062567520,(206) 256-7520,1637.1849886816206,argentine,47.61074,-122.33978,1610 2nd Ave,,,Seattle,98101,WA,US
3,XhHUJi5NtkoXRrIsZRJf9w,pampeana-empanadas-seattle-2,Pampeana Empanadas,https://s3-media3.fl.yelpcdn.com/bphoto/0fP_Nr2w8vNFnxxlTZr8Vg/o.jpg,False,https://www.yelp.com/biz/pampeana-empanadas-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,20.0,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'empanadas', 'title': 'Empanadas'}]",4.5,[],$$,+12539736589,(253) 973-6589,4811.719888333799,argentine,47.6659099,-122.31358,5031 University Way NE,,U District Farmers Market,Seattle,98105,WA,US
0,h1Q0Wkx5TUUZeVjJrXTwmQ,chan-seattle-seattle-2,Chan Seattle,https://s3-media4.fl.yelpcdn.com/bphoto/VmCWBN6xBWySopG0kEzplw/o.jpg,False,https://www.yelp.com/biz/chan-seattle-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,913.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,['delivery'],$$,+12063543564,(206) 354-3564,1783.8238301371016,asianfusion,47.6098823547363,-122.341438293457,86 Pine St,,,Seattle,98101,WA,US
1,_obwG8MG2OuFUe1TW3BjGw,stateside-seattle-3,Stateside,https://s3-media2.fl.yelpcdn.com/bphoto/BAgrza8F13S792PTwlsqhw/o.jpg,False,https://www.yelp.com/biz/stateside-seattle-3?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,938.0,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'restaurant_reservation']",$$,+12065577273,(206) 557-7273,1387.6892442778644,asianfusion,47.6141895780828,-122.327432663824,300 E Pike St,Ste 1200,,Seattle,98122,WA,US
2,2FS5eBVcFJ_W461ylUs38Q,palisade-seattle,Palisade,https://s3-media4.fl.yelpcdn.com/bphoto/Ps8n_cRcoA7YPEh0i2TyPA/o.jpg,False,https://www.yelp.com/biz/palisade-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,1431.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,[],$$$,+12062851000,(206) 285-1000,4231.776516766492,asianfusion,47.630364,-122.3915012,2601 W Marina Pl,,Elliott Bay Marina,Seattle,98199,WA,US
3,XE0C4z-DByNlXZ2IUtouhA,reckless-noodle-house-seattle-2,Reckless Noodle House,https://s3-media1.fl.yelpcdn.com/bphoto/SQxhz71_QuJSJi2uyOUzsg/o.jpg,False,https://www.yelp.com/biz/reckless-noodle-house-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,209.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,['delivery'],$$,+12063295499,(206) 329-5499,4003.8026774093696,asianfusion,47.5991,-122.29906,2519 S Jackson St,,,Seattle,98144,WA,US
4,vs5dhED5Yf8kqPp06OD2QQ,momiji-seattle,Momiji,https://s3-media1.fl.yelpcdn.com/bphoto/5XslhP5lqCIQd7KUFV4HSg/o.jpg,False,https://www.yelp.com/biz/momiji-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,1416.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,['delivery'],$$,+12064574068,(206) 457-4068,1851.6920744376196,asianfusion,47.61482,-122.31657,1522 12th Ave,,,Seattle,98122,WA,US
5,ZHMHUTDxXhufLU-iFSNntg,hanok-seattle-2,Hanok,https://s3-media1.fl.yelpcdn.com/bphoto/j8YCeJOrP6jYCUf2RP4Wqg/o.jpg,False,https://www.yelp.com/biz/hanok-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,85.0,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,['delivery'],$$,+12064023847,(206) 402-3847,4237.12481963469,asianfusion,47.63383,-122.28028,4021 E Madison St,,,Seattle,98112,WA,US
6,_3wrETt6P6f41qZUYCu76w,gan-bei-seattle,Gan Bei,https://s3-media1.fl.yelpcdn.com/bphoto/0ijp5XXVgLZifOsIGGD28Q/o.jpg,False,https://www.yelp.com/biz/gan-bei-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,48.0,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hkcafe', 'title': 'Hong Kong Style Cafe'}]",4.0,['delivery'],,+12066250408,(206) 625-0408,3199.6378729564653,asianfusion,47.59768,-122.32413,670 S Weller St,,,Seattle,98104,WA,US
7,IsvlaFF0EPEhh3ahTuC4xg,marination-ma-kai-seattle,Marination Ma Kai,https://s3-media1.fl.yelpcdn.com/bphoto/r19fwmu6kMkfnnBJw2pu_w/o.jpg,False,https://www.yelp.com/biz/marination-ma-kai-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,1025.0,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,['delivery'],$$,+12063288226,(206) 328-8226,5233.562586333581,asianfusion,47.5895547295386,-122.380718663883,1660 Harbor Ave SW,,,Seattle,98126,WA,US
8,2wceIVHS2iTwPDs4Brnlfg,meekong-bar-seattle-4,Meekong Bar,https://s3-media1.fl.yelpcdn.com/bphoto/U13oSc9bhi_hOba-7N0IXA/o.jpg,False,https://www.yelp.com/biz/meekong-bar-seattle-4?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,437.0,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,['delivery'],$$,+12062571030,(206) 257-1030,1284.393092690387,asianfusion,47.6167700829394,-122.346869073808,2525 4th Ave,,,Seattle,98121,WA,US
9,d6S_AgOYhWh3wWlCqP0_KQ,joule-seattle,Joule,https://s3-media4.fl.yelpcdn.com/bphoto/r1Uz6bosIrnwUyCjDa4nDQ/o.jpg,False,https://www.yelp.com/biz/joule-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,935.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,['delivery'],$$,+12066325685,(206) 632-5685,2749.5920612341597,asianfusion,47.64962,-122.3424,3506 Stone Way N,,,Seattle,98103,WA,US
10,eM8Ar2FycR0k6oX__DJ_LA,wild-ginger-seattle-5,Wild Ginger,https://s3-media3.fl.yelpcdn.com/bphoto/msde8Row58yUrFCSYcYvog/o.jpg,False,https://www.yelp.com/biz/wild-ginger-seattle-5?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,81.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"['pickup', 'delivery']",$$,+12067070396,(206) 707-0396,920.3676650430095,asianfusion,47.6174752,-122.3392648,2202B 8th Ave,,,Seattle,98121,WA,US
11,RS-Hlsx7k90m5QODHDs5Cg,tapas-lab-seattle,Tapas Lab,https://s3-media1.fl.yelpcdn.com/bphoto/DXaC5iI9RnLncmSbsV2yRg/o.jpg,False,https://www.yelp.com/biz/tapas-lab-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,149.0,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,['delivery'],$$,+12067751744,(206) 775-1744,6057.693486616647,asianfusion,47.67934,-122.32439,7012 Woodlawn Ave NE,Unit 3B,,Seattle,98115,WA,US
12,oOVlLL4bZ-wAeoi_k0OUmg,monsoon-seattle-seattle-4,Monsoon Seattle,https://s3-media1.fl.yelpcdn.com/bphoto/ZQzcunGfkN96uuY92O1LXg/o.jpg,False,https://www.yelp.com/biz/monsoon-seattle-seattle-4?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,614.0,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,['delivery'],$$,+12063252111,(206) 325-2111,2086.8807195328136,asianfusion,47.62493,-122.3076,615 19th Ave E,,,Seattle,98112,WA,US
13,M892Bwhnuc6YEJOt9e4ohw,grillbird-seattle,Grillbird,https://s3-media3.fl.yelpcdn.com/bphoto/tePw0tIq70525oAYjEfEpQ/o.jpg,False,https://www.yelp.com/biz/grillbird-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,40.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",4.5,"['pickup', 'delivery']",,+12064024388,(206) 402-4388,9512.66632219719,asianfusion,47.54454,-122.37675,6501 35th Ave SW,,,Seattle,98126,WA,US
14,hk31VCyuTN99xZK4WNAlKA,marination-seattle-2,Marination,https://s3-media3.fl.yelpcdn.com/bphoto/yuf-g2jYCn2QlflOtXanZQ/o.jpg,False,https://www.yelp.com/biz/marination-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,263.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,['delivery'],$$,+12063279860,(206) 327-9860,1215.7704100328806,asianfusion,47.6146582349208,-122.338383453643,2000 6th Ave,,Amazon Doppler,Seattle,98121,WA,US
15,TUZ8bJufEb_DmzvIOVVutA,super-six-seattle,Super Six,https://s3-media3.fl.yelpcdn.com/bphoto/lu7jRaoGXnHU3rvElh9WsA/o.jpg,False,https://www.yelp.com/biz/super-six-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,631.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,['delivery'],$$,+12064201201,(206) 420-1201,8461.39618436225,asianfusion,47.55728,-122.28556,3714 S Hudson St,,,Seattle,98118,WA,US
16,T3Pm0FFpxOrTUmX3zASXoA,plenty-of-clouds-seattle-2,Plenty of Clouds,https://s3-media3.fl.yelpcdn.com/bphoto/nDUCUc1IJtXbRXhkME44-g/o.jpg,False,https://www.yelp.com/biz/plenty-of-clouds-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,105.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.0,['delivery'],$$,+12062795900,(206) 279-5900,2053.8064095918876,asianfusion,47.6151976358352,-122.312686271692,1550 15th Ave,,,Seattle,98122,WA,US
17,UxAJx6tjY0Q8Neg4LqTHcg,ban-hua-sai-seattle,Ban Hua Sai,https://s3-media2.fl.yelpcdn.com/bphoto/zY3IO9ZNMZutm3p-9n_DTg/o.jpg,False,https://www.yelp.com/biz/ban-hua-sai-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,133.0,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"['pickup', 'delivery']",$$,+12065226001,(206) 522-6001,8067.288301547011,asianfusion,47.69692,-122.31725,9400 Roosevelt Way NE,,,Seattle,98115,WA,US
18,gFJ5odOUmD65EOrwv-Xf7w,buddha-bruddah-seattle-2,Buddha Bruddah,https://s3-media4.fl.yelpcdn.com/bphoto/OXLNv7QqXH42cZQ-SPSEXw/o.jpg,False,https://www.yelp.com/biz/buddha-bruddah-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,170.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.0,"['pickup', 'delivery']",$$,+12065564134,(206) 556-4134,5298.444122584566,asianfusion,47.58329,-122.30249,2201 Rainier Ave S,,,Seattle,98144,WA,US
19,spbJ1hhcMkYafoJcDCtZXg,mura-asian-eatery-seattle,Mura Asian Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/Sb89A-MBQFNW-G_zLI5tlg/o.jpg,False,https://www.yelp.com/biz/mura-asian-eatery-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,126.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,['delivery'],$$,+12063907148,(206) 390-7148,5043.835488870639,asianfusion,47.64026,-122.39916,3216 W Wheeler St,,,Seattle,98199,WA,US
20,UvLTQakFo2DDFyLka0ECnw,bopbox-seattle,BOPBOX,https://s3-media1.fl.yelpcdn.com/bphoto/H45bYcDRbdkw8Fi5gYlULQ/o.jpg,False,https://www.yelp.com/biz/bopbox-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,94.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,['delivery'],$$,+12062574787,(206) 257-4787,8329.7211617504,asianfusion,47.5513,-122.3191,5633 Airport Way S,,,Seattle,98108,WA,US
21,8drBw0cVNp1KqsLzRmokYA,marination-station-seattle-2,Marination Station,https://s3-media3.fl.yelpcdn.com/bphoto/06V9T8FiutKPmEWujVaacA/o.jpg,False,https://www.yelp.com/biz/marination-station-seattle-2?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,600.0,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.0,['delivery'],$,+12063258226,(206) 325-8226,1663.8060213792746,asianfusion,47.61337,-122.32142,1412 Harvard Ave,,,Seattle,98122,WA,US
22,gKC_byXJ3UCaq6xARbP7KQ,bistro-box-restaurant-and-bar-seattle,Bistro Box Restaurant And Bar,https://s3-media3.fl.yelpcdn.com/bphoto/Sa2LtVjlM4mI3V34rnGHow/o.jpg,False,https://www.yelp.com/biz/bistro-box-restaurant-and-bar-seattle?adjust_creative=1IljKHTYmX99yWQTpvY92g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1IljKHTYmX99yWQTpvY92g,15.0,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,[],$$,+12069223538,(206) 922-3538,4096.035602242821,asianfusion,47.588824,-122.334698,1521 1st Ave S,,,Seattle,98134,WA,US
